number,name,party,address,image
25,באסל גטאס,"בל""ד",כפר ראמה,http://www.knesset.gov.il/mk/images/members/Jitas_Basil.jpg
41,חנין זועבי,"בל""ד",נצרת,http://www.news1.co.il/uploadimages/NEWS1-971340358257294.jpg
42,ג`מאל זחאלקה,"בל""ד",כפר קרע,http://www.nrg.co.il/images/archive/300x225/1/173/426.jpg
5,אורי אורבך,הבית היהודי,מודיעין,http://www.nrg.co.il/images/archive/300x225/1/111/352.jpg
8,אריאל אטיאס,הבית היהודי,ירושלים,http://www.magazin.org.il/userfiles/Atias_.jpg
15,אורי יהודה אריאל,הבית היהודי,כפר אדומים,http://upload.wikimedia.org/wikipedia/commons/7/7b/Ariel_uri-yehuda.jpg
19,אלי בן-דהן,הבית היהודי,???,http://www.knesset.gov.il/mk/images/members/BenDahan_Eliahu.jpg
20,נפתלי בנט,הבית היהודי,רעננה,http://davidmerhav.files.wordpress.com/2012/12/559838_502614673093539_2042063130_n.jpg
38,אבי וורצמן,הבית היהודי,באר שבע,http://www.baityehudi.org.il/wp-content/uploads/2012/12/avi-new.jpg
49,מרדכי יוגב,הבית היהודי,דולב,http://www.knesset.gov.il/mk/images/members/Yogev_Mordechai.jpg
57,זבולון כלפה,הבית היהודי,קיבוץ שומריה,http://www.knesset.gov.il/mk/images/members/Kalfa_Zvulun.jpg
73,שולי מועלם-רפאלי,הבית היהודי,נווה דניאל,http://upload.wikimedia.org/wikipedia/commons/c/c8/Shuli_Mualem.jpg
85,אורית סטרוק,הבית היהודי,חברון,http://msc.wcdn.co.il/w/w-700/992404-5.jpg
86,ניסן סלומינסקי,הבית היהודי,אלקנה,http://www.knesset.gov.il/mk/images/members/slomiansky_nisan.jpg
109,יוני שטבון,הבית היהודי,ירושלים,http://upload.wikimedia.org/wikipedia/commons/c/c2/Yoni_Chetboun.jpeg
119,איילת שקד,הבית היהודי,תל אביב,http://upload.wikimedia.org/wikipedia/commons/1/11/AYELET_SHAKED.jpg
3,יולי - יואל אדלשטיין,הליכוד,נווה דניאל,http://www.knesset.gov.il/mk/images/members/edelstein_yoel.jpg
12,זאב אלקין,הליכוד,ירושלים,http://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Elkin_zeev.jpg/200px-Elkin_zeev.jpg
13,אופיר אקוניס,הליכוד,תל אביב,http://atzuma-wisebeetle1.netdna-ssl.com/uploaded/120526abea720cc0de87ff8a054ffddc986ff3.jpg
14,גלעד ארדן,הליכוד,אשקלון,http://communabuilder.tapuz.co.il/UsersFolders/ErdanForIsraelPrise/images/31197_2773894_1.jpg
28,גילה גמליאל,הליכוד,תל אביב,http://msc.wcdn.co.il/archive/636968-5.jpg
32,דני דנון,הליכוד,מושב משמרת,http://www.magazin.org.il/userfiles/dani_dannon.jpg
37,צחי הנגבי,הליכוד,מבשרת ציון,http://www.nrg.co.il/images/archive/300x225/134/230.jpg
44,ציפי חוטובלי,הליכוד,רחובות,http://upload.wikimedia.org/wikipedia/commons/c/c5/Tzipi_Hotovely_Portrait.jpg
51,משה יעלון,הליכוד,מכבים-רעות,http://lib.cet.ac.il/storage/items/12400_12499/0000012401/12401_M.jpg
58,חיים כץ,הליכוד,שוהם,http://www.nrg.co.il/images/archive/300x225/1/070/549.jpg
59,ישראל כץ,הליכוד,מושב כפר אחים,http://www.nrg.co.il/images/archive/300x225/1/059/312.jpg
62,לימור לבנת,הליכוד,תל אביב,http://www.edb.co.il/blog/wp-content/static/2011/06/livnat_limor.jpg
65,יריב לוין,הליכוד,מודיעין,http://media.israelhayom.co.il/2011/03/28/130126703190549011a_b.jpg
83,בנימין נתניהו,הליכוד,ירושלים,http://www.knesset.gov.il/mk/images/members/netanyahu_bibi.jpg
84,גדעון סער,הליכוד,תל אביב,http://blinker.co.il/wp-content/uploads/2012/06/saar_gidon.jpg
90,משה זלמן פייגלין,הליכוד,גינות שומורון,http://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Moshe_Feiglin.jpg/200px-Moshe_Feiglin.jpg
103,מירי רגב,הליכוד,ראש העין,http://img.mako.co.il/2012/05/31/IBAID3_g.jpg
108,ראובן ריבלין,הליכוד,ירושלים,http://www.nrg.co.il/images/archive/300x225/1/082/126.jpg
110,יובל שטייניץ,הליכוד,מבשרת ציון,http://megafon-news.co.il/asys/wp-content/uploads/2013/05/%D7%99%D7%95%D7%91%D7%9C-%D7%A9%D7%98%D7%99%D7%99%D7%A0%D7%99%D7%A5-%D7%9E%D7%90%D7%AA%D7%A8-%D7%94%D7%9B%D7%A0%D7%A1%D7%AA.jpg
114,סילבן שלום,הליכוד,רמת גן,http://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Silvan_Shaloml.jpg/250px-Silvan_Shaloml.jpg
17,מיכל בירן,העבודה,תל אביב,http://www.havoda.org.il/Items/05934/%D7%9E%D7%99%D7%9B%D7%9C%20%D7%91%D7%99%D7%A8%D7%9F.jpg
18,בנימין (פואד) בן-אליעזר,העבודה,ראשון לציון,http://www.knesset.gov.il/mk/images/members/beneliezer_binyamin.jpg
21,עמר בר-לב,העבודה,כוכב יאיר,http://members.havoda.org.il/primaries/051770048.jpg
22,חיליק בר,העבודה,ירושלים,http://www.havoda.org.il/Items/06106/06%20%D7%97%D7%99%D7%9C%D7%99%D7%A7%20%D7%91%D7%A8%20%D7%90.jpg
23,אבישי ברוורמן,העבודה,תל אביב,http://www.knesset.gov.il/mk/images/members/braverman_avishay.jpg
36,יצחק הרצוג,העבודה,תל אביב,http://www.havoda.org.il/Items/03558/%D7%99%D7%A6%D7%97%D7%A7%20%D7%94%D7%A8%D7%A6%D7%95%D7%923.JPG
50,שלי יחימוביץ`,העבודה,תל אביב,http://www.havoda.org.il/Items/04962/%D7%A9%D7%9C%D7%99%20%D7%99%D7%97%D7%99%D7%9E%D7%95%D7%91%D7%99%D7%A5%20%207.jpg
53,איתן כבל,העבודה,ראש העין,http://www.havoda.org.il/Items/02513/%D7%90%D7%99%D7%AA%D7%9F%20%D7%9B%D7%91%D7%9C.jpg
75,משה מזרחי,העבודה,שוהם,http://upload.wikimedia.org/wikipedia/he/thumb/4/46/MizrahiMoshe.jpg/200px-MizrahiMoshe.jpg
77,מרב מיכאלי,העבודה,תל אביב,http://www.havoda.org.il/Items/05978/%D7%9E%D7%A8%D7%91%20%D7%9E%D7%99%D7%9B%D7%90%D7%9C%D7%99.jpg
81,אראל מרגלית,העבודה,ירושלים,http://www.havoda.org.il/Items/05922/%D7%90%D7%A8%D7%90%D7%9C%20%D7%9E%D7%A8%D7%92%D7%9C%D7%99%D7%AA.jpg
105,מיקי רוזנטל,העבודה,גבעתיים,http://img.mako.co.il/2010/04/21/miki_c.jpg
113,נחמן שי,העבודה,מבשרת ציון,http://www.nrg.co.il/images/archive/300x225/1/031/888.jpg
116,איציק שמולי,העבודה,לוד,http://www.themarker.com/polopoly_fs/1.682147.1313083216!/image/3684488948.jpg_gen/derivatives/landscape_468/3684488948.jpg
118,סתיו שפיר,העבודה,?,http://www.themarker.com/polopoly_fs/1.1857803.1352139935!/image/1450474671.jpg_gen/derivatives/landscape_300/1450474671.jpg
61,ציפי לבני,התנועה,תל אביב,http://images.globes.co.il/Images/NewGlobes/bomba200x150/livni_200x150_01.gif
78,עמרם מצנע,התנועה,חיפה,http://www.news1.co.il/uploadimages/NEWS1NEW-78121364116669.jpg
96,עמיר פרץ,התנועה,שדרות,http://www.havoda.org.il/Items/02468/peretz_amir%20face.jpg
97,דוד צור,התנועה,?,http://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/David_Tzur.jpg/250px-David_Tzur.jpg
111,מאיר שטרית,התנועה,יבנה,http://mida.org.il/wp-content/uploads/2012/12/%D7%9E%D7%90%D7%99%D7%A8-%D7%A9%D7%98%D7%A8%D7%99%D7%AA-%D7%90%D7%AA%D7%A8-%D7%94%D7%9B%D7%A0%D7%A1%D7%AA.jpg
112,אלעזר שטרן,התנועה,הושעיה,http://upload.wikimedia.org/wikipedia/commons/thumb/2/24/%D7%90%D7%9C%D7%A2%D7%96%D7%A8_%D7%A9%D7%98%D7%A8%D7%9F.jpg/250px-%D7%90%D7%9C%D7%A2%D7%96%D7%A8_%D7%A9%D7%98%D7%A8%D7%9F.jpg
2,עפו אגבאריה,"חד""ש",אום אל פחם,http://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Afu_Agbaria.jpg/180px-Afu_Agbaria.jpg
24,מוחמד ברכה,"חד""ש",שפרעם,http://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Mohammad_Barakeh_2011.jpg/150px-Mohammad_Barakeh_2011.jpg
45,דב חנין,"חד""ש",תל אביב,http://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Dovkhenin.jpg/250px-Dovkhenin.jpg
87,חנא סוייד,"חד""ש",עילבון,http://www.knesset.gov.il/mk/images/members/swaid_hana.jpg
9,ישראל אייכלר,יהדות התורה,ירושלים,http://megafon-news.co.il/asys/wp-content/uploads/2012/02/%D7%99%D7%A9%D7%A8%D7%90%D7%9C-%D7%90%D7%99%D7%99%D7%9B%D7%9C%D7%A8-%D7%9E%D7%90%D7%AA%D7%A8-%D7%94%D7%9B%D7%A0%D7%A1%D7%AA.jpg
16,יעקב אשר,יהדות התורה,בני ברק,http://www.netonews.co.il/var/2211/273399-%D7%99%D7%A2%D7%A7%D7%91%20%D7%90%D7%A9%D7%A8,%20%D7%A8%D7%90%D7%A9%20%D7%A2%D7%99%D7%A8%D7%99%D7%99%D7%AA%20%D7%91%D7%A0%D7%99%20%D7%91%D7%A8%D7%A7.jpg
30,משה גפני,יהדות התורה,בני ברק,http://www.iba.org.il/bet/pictures/P546567.jpg
68,יעקב ליצמן,יהדות התורה,ירושלים,http://www.nrg.co.il/images/archive/300x225/908/902.jpg
72,מנחם אליעזר מוזס,יהדות התורה,ירושלים,http://www.nrg.co.il/images/archive/300x225/1/160/139.jpg
79,אורי מקלב,יהדות התורה,ירושלים,http://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Uri_Maklev.JPG/200px-Uri_Maklev.JPG
92,מאיר פרוש,יהדות התורה,ירושלים,http://www.nrg.co.il/images/archive/300x225/513/671.jpg
11,קארין אלהרר,יש עתיד,קריית אונו,http://yeshatid.org.il/wp-content/uploads/2012/11/karin.jpg
31,יעל גרמן,יש עתיד,הרצליה,http://yeshatid.org.il/wp-content/uploads/2012/11/german.jpg
34,רונן הופמן,יש עתיד,הרצליה,http://upload.wikimedia.org/wikipedia/he/c/ce/Ronenhofman.jpg
47,בועז טופורובסקי,יש עתיד,תל אביב,http://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Boaz_Toporovsky.JPG/200px-Boaz_Toporovsky.JPG
56,מאיר כהן,יש עתיד,דימונה,http://yeshatid.org.il/wp-content/uploads/2012/11/candidate_image5.jpg
